label,command,lastPart
sara,سارا,ارا
finish,پایان,یان
finish,بی خیال,خیال
shutdown,لپتاپ,تاپ
shutdown,خاموش,موش
joke,جوک,جوک
joke,لطیفه,تیف
add command,جدید,دید
update github,به روز رسانی شو,روز
Backup,پشتیبانی,یبانی
VS code,برنامه نویسی,نویس
Browser,مرورگر,ورگر
play tekno,تکنو پخش کن,تکنو
