label,command,lastPart
finish,پایان,یان
finish,هیچی,چی
finish,کافی,فیه
finish,بس است,بسه
finish,بی خیال,خیال
add,جدید,دید
google,گوگل,گل
update github,به روز رسانی شو,روز
music,موسیقی,سیقی
change environment,تغییر محیط,محیط
VS Code,برنامه نویسی,نویس
internet,اینترنت,رنت
25 band music,۲۵,۵
